,time,open,high,low,close,tick_volume,spread,real_volume
51,2023-10-30 01:51:00,32488.6,32488.6,32479.1,32479.6,27,34,0
52,2023-10-30 01:52:00,32479.1,32481.6,32479.1,32481.6,11,34,0
53,2023-10-30 01:53:00,32481.6,32485.1,32479.1,32484.6,21,29,0
54,2023-10-30 01:54:00,32485.1,32486.6,32484.6,32485.7,10,32,0
55,2023-10-30 01:55:00,32485.7,32485.7,32481.6,32483.6,15,32,0
56,2023-10-30 01:56:00,32484.1,32484.7,32483.7,32484.7,7,32,0
57,2023-10-30 01:57:00,32484.7,32486.3,32481.7,32481.7,18,31,0
58,2023-10-30 01:58:00,32481.7,32482.7,32479.7,32479.8,15,31,0
59,2023-10-30 01:59:00,32479.8,32479.8,32477.3,32477.3,19,30,0
60,2023-10-30 02:00:00,32477.8,32481.3,32477.3,32480.8,19,25,0
61,2023-10-30 02:01:00,32480.8,32480.8,32462.6,32463.6,38,22,0
62,2023-10-30 02:02:00,32464.1,32470.6,32464.1,32468.6,23,24,0
63,2023-10-30 02:03:00,32469.1,32470.6,32466.1,32466.1,13,34,0
64,2023-10-30 02:04:00,32465.6,32475.1,32464.6,32473.6,28,19,0
65,2023-10-30 02:05:00,32472.6,32472.6,32468.6,32469.6,22,24,0
66,2023-10-30 02:06:00,32469.6,32471.6,32464.1,32466.6,28,34,0
67,2023-10-30 02:07:00,32466.1,32467.6,32458.1,32459.6,35,24,0
68,2023-10-30 02:08:00,32459.6,32467.6,32459.6,32466.6,25,29,0
69,2023-10-30 02:09:00,32466.6,32467.6,32465.6,32466.6,15,39,0
70,2023-10-30 02:10:00,32466.6,32467.6,32460.6,32461.6,32,24,0
71,2023-10-30 02:11:00,32461.6,32463.6,32460.6,32463.6,20,34,0
72,2023-10-30 02:12:00,32463.6,32463.6,32458.6,32459.6,25,24,0
73,2023-10-30 02:13:00,32459.6,32460.6,32454.6,32456.6,20,24,0
74,2023-10-30 02:14:00,32456.1,32459.6,32454.1,32457.6,31,29,0
75,2023-10-30 02:15:00,32458.1,32464.6,32457.6,32464.6,21,29,0
76,2023-10-30 02:16:00,32464.6,32466.6,32463.6,32465.6,16,39,0
77,2023-10-30 02:17:00,32465.6,32466.6,32464.6,32466.1,16,39,0
78,2023-10-30 02:18:00,32466.6,32466.6,32462.1,32462.6,21,34,0
79,2023-10-30 02:19:00,32462.6,32466.6,32460.6,32466.6,15,39,0
80,2023-10-30 02:20:00,32466.6,32468.6,32465.6,32466.6,12,33,0
81,2023-10-30 02:21:00,32466.6,32468.7,32464.6,32466.6,15,33,0
82,2023-10-30 02:22:00,32466.7,32466.7,32463.6,32463.6,11,28,0
83,2023-10-30 02:23:00,32465.1,32471.6,32465.1,32471.6,29,28,0
84,2023-10-30 02:24:00,32471.6,32471.6,32467.1,32471.6,19,34,0
85,2023-10-30 02:25:00,32471.6,32472.6,32470.6,32470.6,9,24,0
86,2023-10-30 02:26:00,32470.6,32470.6,32468.6,32468.6,13,39,0
87,2023-10-30 02:27:00,32468.1,32468.6,32466.6,32466.6,11,24,0
88,2023-10-30 02:28:00,32466.6,32469.6,32465.1,32469.6,14,34,0
89,2023-10-30 02:29:00,32469.6,32471.6,32468.6,32471.1,14,34,0
90,2023-10-30 02:30:00,32472.6,32472.6,32469.6,32472.1,15,28,0
91,2023-10-30 02:31:00,32472.1,32472.6,32466.6,32472.6,18,23,0
92,2023-10-30 02:32:00,32472.1,32472.6,32468.6,32470.6,13,34,0
93,2023-10-30 02:33:00,32470.6,32470.6,32467.6,32468.6,12,39,0
94,2023-10-30 02:34:00,32468.6,32470.6,32467.6,32468.6,21,38,0
95,2023-10-30 02:35:00,32468.6,32470.6,32464.6,32467.6,23,38,0
96,2023-10-30 02:36:00,32467.6,32469.6,32467.6,32469.6,9,39,0
97,2023-10-30 02:37:00,32469.1,32470.1,32466.6,32469.6,13,24,0
98,2023-10-30 02:38:00,32469.6,32469.6,32464.6,32467.6,21,24,0
99,2023-10-30 02:39:00,32467.6,32467.6,32462.1,32462.6,23,34,0
100,2023-10-30 02:40:00,32463.1,32464.6,32462.1,32463.6,9,34,0
101,2023-10-30 02:41:00,32463.1,32465.6,32461.6,32465.6,22,34,0
102,2023-10-30 02:42:00,32465.1,32468.6,32464.6,32468.1,19,29,0
103,2023-10-30 02:43:00,32467.6,32467.6,32465.6,32467.6,15,33,0
104,2023-10-30 02:44:00,32468.1,32469.6,32467.6,32468.6,20,33,0
105,2023-10-30 02:45:00,32468.1,32470.1,32465.6,32468.6,20,28,0
106,2023-10-30 02:46:00,32469.1,32470.6,32468.6,32470.1,19,34,0
107,2023-10-30 02:47:00,32470.1,32473.6,32470.1,32471.6,17,18,0
108,2023-10-30 02:48:00,32471.6,32472.6,32471.1,32471.6,15,28,0
109,2023-10-30 02:49:00,32471.1,32471.6,32470.1,32470.6,11,38,0
110,2023-10-30 02:50:00,32470.1,32470.7,32468.6,32469.6,18,32,0
111,2023-10-30 02:51:00,32469.1,32472.2,32469.1,32470.6,19,32,0
